locality_id,suburb_name,locality_class,state,lat,lon
locd15f477b7685,Barkers Creek,Gazetted Locality,VIC,-37.023043,144.224986
loc25449f1f934e,Barkly,Gazetted Locality,VIC,-36.943078,143.218954
locb5518e2def1e,Barkstead,Gazetted Locality,VIC,-37.477656,144.099242
loce8ad48650312,Barmah,Gazetted Locality,VIC,-35.950028,144.988942
loc480fd83ce7b6,Barnadown,Gazetted Locality,VIC,-36.65004,144.52644
loca33f0b478514,Barnawartha,Gazetted Locality,VIC,-36.081006,146.683338
loce16c47ba0da0,Barnawartha North,Gazetted Locality,VIC,-36.076857,146.750937
loc28f46ad1c65b,Baromi,Gazetted Locality,VIC,-38.403615,146.175422
loc2d72f4eafe40,Barongarook,Gazetted Locality,VIC,-38.43132,143.614617
loc8f4a31e69dd1,Barongarook West,Gazetted Locality,VIC,-38.43132,143.539988
loc5f4b8feb0579,Barrabool,Gazetted Locality,VIC,-38.165983,144.225918
locae6c33956ba3,Barrakee,Gazetted Locality,VIC,-36.266567,143.448723
locdad186d625ec,Barramunga,Gazetted Locality,VIC,-38.58229,143.716537
loc3b062e2dc7ec,Barraport,Gazetted Locality,VIC,-35.992703,143.655648
locf933bb59d13e,Barraport West,Gazetted Locality,VIC,-36.018349,143.55302
loc53e3e6885083,Barrys Reef,Gazetted Locality,VIC,-37.454589,144.312456
loc9083cdebc5de,Barunah Park,Gazetted Locality,VIC,-38.013062,143.822815
loc28842e4b419f,Barunah Plains,Gazetted Locality,VIC,-38.048204,143.768928
loce0a53bd0844c,Barwidgee,Gazetted Locality,VIC,-36.511867,146.780491
loc25122932d6df,Barwite,Gazetted Locality,VIC,-37.010165,146.224163
loc8c28aafe5f9e,Barwon Downs,Gazetted Locality,VIC,-38.507711,143.783699
locbbb93e2c6c42,Barwon Heads,Gazetted Locality,VIC,-38.273629,144.488629
loc1238ab1662bb,Basalt,Gazetted Locality,VIC,-37.308636,144.105362
locc6531a5cfb35,Bass,Gazetted Locality,VIC,-38.47806,145.4707
loc1d20a85119e7,Batesford,Gazetted Locality,VIC,-38.091241,144.277933
loc2e7877cb2c34,Bathumi,Gazetted Locality,VIC,-36.025024,146.085132
loc918f6d0fec8d,Baw Baw,Gazetted Locality,VIC,-37.837635,146.322705
locd6e139dc2ba2,Baw Baw Village,Gazetted Locality,VIC,-37.843924,146.256778
loccc0f4c785f6c,Baxter,Gazetted Locality,VIC,-38.197834,145.155668
loc4ce426882fb2,Bayindeen,Gazetted Locality,VIC,-37.303344,143.183044
loc9e030c68a944,Bayles,Gazetted Locality,VIC,-38.177274,145.575968
loc466d0093284d,Baynton,Gazetted Locality,VIC,-37.13767,144.649638
loc1949fc383925,Baynton East,Gazetted Locality,VIC,-37.123426,144.712929
loc2f9c80de6f7d,Bayswater,Gazetted Locality,VIC,-37.846288,145.266207
loc9165cd64854f,Bayswater North,Gazetted Locality,VIC,-37.825587,145.284074
locfb463ae5ac4b,Beaconsfield,Gazetted Locality,VIC,-38.039649,145.38067
loc88487743ffc5,Beaconsfield Upper,Gazetted Locality,VIC,-37.998515,145.425413
loc639d23ea6a14,Bealiba,Gazetted Locality,VIC,-36.768749,143.556519
