suburb_name,state,lat,lon,postcode
BEECH FOREST,VIC,-38.635699,143.602265,3237.0
BEECH FOREST,VIC,-38.635699,143.602265,3237.0
BEECHWORTH,VIC,-36.3339,146.672807,3747.0
BEENAK,VIC,-37.900395,145.636513,3139.0
BELGRAVE,VIC,-37.91207,145.353896,3160.0
BELGRAVE HEIGHTS,VIC,-37.92582,145.343365,3160.0
BELGRAVE HEIGHTS,VIC,-37.92582,145.343365,3160.0
BELGRAVE SOUTH,VIC,-37.942173,145.355816,3160.0
BELGRAVE SOUTH,VIC,-37.942173,145.355816,3160.0
BELL PARK,VIC,-38.10622,144.33836,3215.0
BELL PARK,VIC,-38.10622,144.33836,3215.0
BELL POST HILL,VIC,-38.096313,144.319746,3215.0
BELL POST HILL,VIC,-38.096313,144.319746,3215.0
BELLARINE,VIC,-38.132016,144.622072,3223.0
BELLARINE,VIC,-38.132016,144.622072,3223.0
BELLBIRD CREEK,VIC,-37.63576,148.816494,3889.0
BELLBIRD CREEK,VIC,-37.63576,148.816494,3889.0
BELLBIRD CREEK,VIC,-37.63576,148.816494,3889.0
BELLBRAE,VIC,-38.343492,144.242344,3228.0
BELLBRAE,VIC,-38.343492,144.242344,3228.0
BELLBRIDGE,VIC,-36.098171,147.058598,3691.0
BELLBRIDGE,VIC,-36.098171,147.058598,3691.0
BELLELLEN,VIC,-37.135436,142.693903,3381.0
BELLELLEN,VIC,-37.135436,142.693903,3381.0
BELLFIELD,VIC,-37.752947,145.038729,3081.0
BELLFIELD,VIC,-37.752947,145.038729,3381.0
BELLFIELD,VIC,-37.752947,145.038729,3081.0
BELLFIELD,VIC,-37.752947,145.038729,3381.0
BELLFIELD,VIC,-37.227637,142.484082,3081.0
BELLFIELD,VIC,-37.227637,142.484082,3381.0
BELLFIELD,VIC,-37.227637,142.484082,3081.0
BELLFIELD,VIC,-37.227637,142.484082,3381.0
BELLS BEACH,VIC,-38.376987,144.251847,3228.0
BELLS BEACH,VIC,-38.376987,144.251847,3228.0
